index,Date,IN,OUT,Postgraduate,Undergraduate,Assistive-Tech,Library-Staff,Staff,Sconul,Default,BN,Other,Term_dates,Pressure_in,Month,Day,Condition,temp_hi,temp_low,day
0.0,2018-01-02,1807.0,1736.0,528.0,883.0,61.0,3.0,45.0,3.0,21.0,28.0,235.0,Christmas vacation 1,0,2018_01,2,scattered showers,12,3,02
1.0,2018-01-03,2096.0,2107.0,580.0,955.0,96.0,1.0,64.0,13.0,21.0,37.0,329.0,Christmas vacation 1,0,2018_01,3,mostly cloudy,13,7,03
2.0,2018-01-04,2914.0,2894.0,731.0,1474.0,123.0,3.0,78.0,30.0,47.0,101.0,327.0,Christmas vacation 1,0,2018_01,4,scattered showers,13,6,04
3.0,2018-01-05,3199.0,3245.0,845.0,1630.0,147.0,1.0,74.0,17.0,53.0,123.0,309.0,Christmas vacation 1,0,2018_01,5,mostly sunny,9,3,05
4.0,2018-01-06,2700.0,2759.0,654.0,1484.0,134.0,0.0,11.0,6.0,38.0,110.0,263.0,Christmas vacation 1,0,2018_01,6,mostly sunny,6,2,06
5.0,2018-01-07,3222.0,3202.0,708.0,1929.0,142.0,1.0,17.0,6.0,30.0,137.0,252.0,Christmas vacation 1,0,2018_01,7,partly cloudy,5,3,07
6.0,2018-01-08,4755.0,4774.0,958.0,3018.0,257.0,2.0,80.0,11.0,90.0,23.0,316.0,Private study 1,0,2018_01,8,mostly cloudy,4,3,08
7.0,2018-01-09,5610.0,5585.0,1144.0,3640.0,301.0,2.0,70.0,11.0,78.0,29.0,335.0,Private study 1,0,2018_01,9,foggy,8,4,09
8.0,2018-01-10,6544.0,6563.0,1220.0,4382.0,334.0,1.0,100.0,14.0,112.0,42.0,339.0,Private study 1,0,2018_01,10,mostly sunny,10,2,10
9.0,2018-01-11,6314.0,6441.0,1224.0,4333.0,308.0,3.0,89.0,18.0,62.0,27.0,250.0,Mid-year assessment,0,2018_01,11,foggy,7,1,11
10.0,2018-01-12,5081.0,5208.0,960.0,3470.0,320.0,1.0,59.0,21.0,62.0,34.0,154.0,Mid-year assessment,0,2018_01,12,foggy,7,5,12
11.0,2018-01-13,4293.0,4335.0,737.0,2936.0,239.0,1.0,13.0,10.0,55.0,50.0,252.0,Mid-year assessment,0,2018_01,13,cloudy,7,4,13
12.0,2018-01-14,5242.0,5244.0,756.0,3776.0,313.0,1.0,20.0,12.0,36.0,69.0,259.0,Mid-year assessment,0,2018_01,14,cloudy,7,4,14
13.0,2018-01-15,5878.0,5933.0,927.0,4126.0,358.0,1.0,54.0,9.0,86.0,45.0,272.0,Mid-year assessment,0,2018_01,15,scattered showers,11,5,15
14.0,2018-01-16,5904.0,6008.0,995.0,4052.0,409.0,1.0,61.0,11.0,80.0,28.0,267.0,Mid-year assessment,0,2018_01,16,mostly sunny,7,1,16
