Hour,Date,Oclock,IN,OUT,Postgraduate,Undergraduate,Assistive-Tech,Library-Staff,Staff,Sconul,Default,BN,Other,Term_dates
2018-01-02 00:00:00,2018-01-02,00,1,0,0,0,0,1,0,0,0,0,0,Christmas vacation 1
2018-01-02 01:00:00,2018-01-02,01,0,0,0,0,0,0,0,0,0,0,0,Christmas vacation 1
2018-01-02 02:00:00,2018-01-02,02,0,0,0,0,0,0,0,0,0,0,0,Christmas vacation 1
2018-01-02 03:00:00,2018-01-02,03,0,0,0,0,0,0,0,0,0,0,0,Christmas vacation 1
2018-01-02 04:00:00,2018-01-02,04,0,0,0,0,0,0,0,0,0,0,0,Christmas vacation 1
2018-01-02 05:00:00,2018-01-02,05,0,0,0,0,0,0,0,0,0,0,0,Christmas vacation 1
2018-01-02 06:00:00,2018-01-02,06,1,0,0,0,0,0,1,0,0,0,0,Christmas vacation 1
2018-01-02 07:00:00,2018-01-02,07,4,1,0,0,0,1,3,0,0,0,0,Christmas vacation 1
2018-01-02 08:00:00,2018-01-02,08,2,0,0,0,0,0,2,0,0,0,0,Christmas vacation 1
2018-01-02 09:00:00,2018-01-02,09,66,15,23,30,1,0,3,0,0,1,8,Christmas vacation 1
2018-01-02 10:00:00,2018-01-02,10,128,46,57,48,2,1,3,1,0,2,14,Christmas vacation 1
2018-01-02 11:00:00,2018-01-02,11,146,58,43,71,8,0,4,0,2,1,17,Christmas vacation 1
2018-01-02 12:00:00,2018-01-02,12,143,122,42,61,7,0,4,0,4,0,25,Christmas vacation 1
2018-01-02 13:00:00,2018-01-02,13,239,144,60,117,10,0,5,2,1,3,41,Christmas vacation 1
2018-01-02 14:00:00,2018-01-02,14,225,178,72,104,8,0,5,0,3,1,32,Christmas vacation 1
2018-01-02 15:00:00,2018-01-02,15,224,190,63,110,5,0,6,0,4,2,34,Christmas vacation 1
2018-01-02 16:00:00,2018-01-02,16,184,216,54,90,9,0,5,0,3,6,17,Christmas vacation 1
2018-01-02 17:00:00,2018-01-02,17,153,192,32,86,5,0,2,0,2,4,22,Christmas vacation 1
2018-01-02 18:00:00,2018-01-02,18,98,194,30,50,2,0,1,0,0,2,13,Christmas vacation 1
2018-01-02 19:00:00,2018-01-02,19,74,138,19,44,2,0,1,0,1,3,4,Christmas vacation 1
2018-01-02 20:00:00,2018-01-02,20,48,90,8,35,1,0,0,0,0,2,2,Christmas vacation 1
2018-01-02 21:00:00,2018-01-02,21,35,67,11,19,1,0,0,0,1,0,3,Christmas vacation 1
2018-01-02 22:00:00,2018-01-02,22,22,55,7,12,0,0,0,0,0,1,2,Christmas vacation 1
2018-01-02 23:00:00,2018-01-02,23,14,30,7,6,0,0,0,0,0,0,1,Christmas vacation 1
2018-01-03 00:00:00,2018-01-03,00,10,16,1,2,0,1,0,0,0,2,4,Christmas vacation 1
2018-01-03 01:00:00,2018-01-03,01,2,7,2,0,0,0,0,0,0,0,0,Christmas vacation 1
2018-01-03 02:00:00,2018-01-03,02,0,14,0,0,0,0,0,0,0,0,0,Christmas vacation 1
2018-01-03 03:00:00,2018-01-03,03,1,8,1,0,0,0,0,0,0,0,0,Christmas vacation 1
2018-01-03 04:00:00,2018-01-03,04,4,4,1,2,0,0,0,0,0,0,1,Christmas vacation 1
2018-01-03 05:00:00,2018-01-03,05,0,2,0,0,0,0,0,0,0,0,0,Christmas vacation 1
2018-01-03 06:00:00,2018-01-03,06,3,2,1,2,0,0,0,0,0,0,0,Christmas vacation 1
2018-01-03 07:00:00,2018-01-03,07,3,2,0,0,0,0,2,0,0,0,1,Christmas vacation 1
2018-01-03 08:00:00,2018-01-03,08,31,5,8,8,1,0,2,0,1,1,10,Christmas vacation 1
2018-01-03 09:00:00,2018-01-03,09,76,16,24,34,2,0,3,0,3,2,8,Christmas vacation 1
2018-01-03 10:00:00,2018-01-03,10,157,49,50,71,4,0,4,2,2,4,20,Christmas vacation 1
2018-01-03 11:00:00,2018-01-03,11,215,84,48,106,15,0,3,2,2,2,37,Christmas vacation 1
2018-01-03 12:00:00,2018-01-03,12,263,196,71,108,20,0,11,0,5,4,44,Christmas vacation 1
2018-01-03 13:00:00,2018-01-03,13,290,249,78,133,12,0,16,2,2,2,45,Christmas vacation 1
2018-01-03 14:00:00,2018-01-03,14,308,227,82,144,12,0,7,0,2,4,57,Christmas vacation 1
2018-01-03 15:00:00,2018-01-03,15,276,271,81,122,15,0,11,2,1,3,41,Christmas vacation 1
2018-01-03 16:00:00,2018-01-03,16,233,294,74,109,9,0,2,2,2,8,27,Christmas vacation 1
2018-01-03 17:00:00,2018-01-03,17,156,257,37,78,4,0,2,2,1,5,27,Christmas vacation 1
2018-01-03 18:00:00,2018-01-03,18,67,356,21,36,1,0,1,1,0,0,7,Christmas vacation 1
