,Date,IN,Brighton Business School,Brighton and Sussex Medical School,IDS,Institute of Development Studies,International School - non deg,Library,Partner Colleges,Psychology,School of Applied Social Science,School of Architecture & Design,School of Art,School of Business and Management,School of Computing,School of Education and Social,School of Engineering and Informative,School of English,School of Environment and Technology,School of Global Studies,School of Health Sciences,School of History,School of History and Art History,School of Humanities,School of Law,"School of Law, Politics and Social",School of Life Sciences,School of Mathematical and Physics,"School of Media, Film and Music",School of Pharmacy and Bio Sci,School of Psychology,School of Sport and Service Management,Undergraduate,University of Brighton,other_school,Term_dates
0,2018-01-02,1807.0,0.0,3.0,36.0,0.0,0.0,0.0,10.0,57.0,0.0,0.0,0.0,308.0,4.0,51.0,80.0,115.0,2.0,212.0,0.0,0.0,74.0,8.0,0.0,193.0,133.0,86.0,158.0,13.0,0.0,0.0,2.0,0.0,262.0,Christmas vacation 1
1,2018-01-03,2096.0,2.0,6.0,35.0,0.0,0.0,0.0,1.0,77.0,0.0,0.0,5.0,308.0,4.0,78.0,87.0,118.0,0.0,297.0,0.0,0.0,116.0,1.0,0.0,192.0,144.0,89.0,138.0,19.0,0.0,2.0,1.0,1.0,375.0,Christmas vacation 1
2,2018-01-04,2914.0,12.0,9.0,31.0,0.0,0.0,0.0,5.0,138.0,0.0,0.0,11.0,409.0,18.0,62.0,99.0,186.0,1.0,340.0,0.0,0.0,142.0,8.0,0.0,364.0,237.0,121.0,267.0,46.0,0.0,5.0,8.0,0.0,395.0,Christmas vacation 1
3,2018-01-05,3199.0,9.0,24.0,44.0,0.0,0.0,0.0,1.0,130.0,2.0,0.0,0.0,493.0,18.0,147.0,140.0,161.0,0.0,418.0,0.0,0.0,182.0,28.0,0.0,342.0,224.0,150.0,260.0,63.0,0.0,3.0,14.0,0.0,346.0,Christmas vacation 1
4,2018-01-06,2700.0,9.0,7.0,52.0,0.0,0.0,0.0,5.0,133.0,1.0,0.0,6.0,466.0,18.0,68.0,138.0,105.0,3.0,336.0,0.0,0.0,105.0,11.0,0.0,293.0,211.0,165.0,210.0,62.0,5.0,0.0,13.0,0.0,278.0,Christmas vacation 1
5,2018-01-07,3222.0,3.0,3.0,61.0,0.0,0.0,0.0,4.0,176.0,4.0,3.0,0.0,616.0,17.0,51.0,168.0,173.0,11.0,398.0,0.0,0.0,164.0,15.0,0.0,346.0,266.0,172.0,216.0,83.0,6.0,1.0,6.0,0.0,259.0,Christmas vacation 1
6,2018-01-08,4755.0,3.0,35.0,41.0,0.0,0.0,0.0,8.0,297.0,1.0,0.0,0.0,925.0,4.0,94.0,265.0,230.0,0.0,651.0,1.0,0.0,295.0,3.0,0.0,520.0,420.0,268.0,310.0,11.0,3.0,0.0,14.0,0.0,356.0,Private study 1
7,2018-01-09,5610.0,2.0,25.0,91.0,1.0,0.0,0.0,6.0,332.0,5.0,0.0,4.0,1129.0,1.0,64.0,353.0,285.0,1.0,761.0,0.0,0.0,370.0,3.0,0.0,615.0,475.0,315.0,366.0,12.0,9.0,0.0,9.0,0.0,376.0,Private study 1
8,2018-01-10,6544.0,2.0,45.0,89.0,0.0,0.0,0.0,6.0,420.0,9.0,2.0,0.0,1458.0,2.0,89.0,396.0,365.0,2.0,735.0,0.0,0.0,439.0,17.0,0.0,712.0,563.0,335.0,430.0,7.0,5.0,0.0,20.0,0.0,396.0,Private study 1
9,2018-01-11,6314.0,1.0,24.0,72.0,3.0,0.0,0.0,2.0,309.0,1.0,1.0,0.0,1808.0,7.0,67.0,305.0,267.0,4.0,696.0,0.0,0.0,430.0,6.0,0.0,621.0,593.0,373.0,400.0,4.0,3.0,0.0,9.0,0.0,308.0,Mid-year assessment
